goos: linux
goarch: amd64
pkg: lc25bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkIterative/k=10/n=10000-24  	   31297	     38386 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31225	     38475 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31386	     38207 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31188	     39611 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31366	     39006 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   29725	     39121 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   30879	     39239 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31374	     38361 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 2977420	       397.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 2891928	       401.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3009224	       397.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3033675	       396.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3037674	       394.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3005893	       398.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3033576	       396.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3018681	       401.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3052850	       395.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=100-24    	 3053734	       392.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  327445	      3663 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  316957	      3691 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  326998	      3684 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  330500	      3639 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  330402	      3657 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  322996	      3644 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  327781	      3664 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  322368	      3880 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  328507	      3663 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=1000-24   	  321846	      3645 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   32918	     36429 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   33076	     37488 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   32950	     36424 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   32912	     36408 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   33087	     36215 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   32877	     36644 ns/op	      16 B/op	       1 allocs/op
