goos: linux
goarch: amd64
pkg: lc32bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkDoublePass/n=800-24         	  968598	      1230 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  935576	      1231 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  977310	      1228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  956478	      1226 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  977048	      1228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  977456	      1228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  978051	      1227 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  975566	      1228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  882351	      1365 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  838380	      1366 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  880178	      1360 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  815206	      1405 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  872221	      1366 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  878074	      1367 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  832572	      1367 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  824377	      1364 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  882840	      1362 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=900-24         	  881499	      1367 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  743086	      1525 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  788678	      1554 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  786426	      1523 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  766383	      1524 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  787317	      1528 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  786970	      1526 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  760815	      1517 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  735244	      1524 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  772038	      1535 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=1000-24        	  785220	      1539 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	lc32bench	237.900s
