goos: linux
goarch: amd64
pkg: lc33bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkBinaryPresent/n=400-24         	187661758	         6.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	182874802	         6.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184915593	         6.477 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	177519454	         6.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184989841	         6.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184086063	         6.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184862787	         6.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	183073248	         6.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	185026356	         6.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184577097	         6.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=500-24         	184769559	         6.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	163712504	         7.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	160488288	         7.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	162736971	         7.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	163003928	         7.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	162547728	         7.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	158779323	         7.494 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	162698523	         7.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	163088724	         7.363 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	161991580	         7.376 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=600-24         	162872391	         7.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	161696616	         7.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162374412	         7.391 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162308900	         7.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	161955398	         7.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162371974	         7.386 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	161741500	         7.412 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162182823	         7.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162808395	         7.367 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162103834	         7.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=700-24         	162141020	         7.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	161732006	         7.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	162012706	         7.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	159962737	         7.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	161734771	         7.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	162183694	         7.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	162135864	         7.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	162096834	         7.392 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	160555804	         7.477 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	162043996	         7.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=800-24         	160466269	         7.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	162214645	         7.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	162822897	         7.373 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	162624152	         7.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	158417589	         7.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	160784250	         7.444 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	161480882	         7.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	161884528	         7.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	162261660	         7.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	162262878	         7.396 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=900-24         	161967717	         7.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	159953371	         7.460 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	160986142	         7.441 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161361735	         7.444 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161369288	         7.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161421790	         7.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161594583	         7.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	162021684	         7.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	159985131	         7.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161003395	         7.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=1000-24        	161202303	         7.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	56451909	        20.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	57770174	        21.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	55541576	        20.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	57842600	        20.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	57011869	        20.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	55835755	        20.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	57861600	        20.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	57925401	        20.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	58241479	        20.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=100-24         	56963967	        20.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	20511280	        56.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	22289410	        56.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	19841778	        58.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	22382974	        57.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	19949412	        57.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	21952534	        57.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	21381652	        55.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	19148390	        55.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	21767205	        56.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=200-24         	22288531	        54.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15855901	        74.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15867750	        74.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	14776058	        77.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15399928	        74.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15310881	        75.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	16396746	        76.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15857712	        74.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	15847345	        74.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	14459793	        77.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=300-24         	16203979	        73.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	10606840	        95.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12922862	        93.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12647198	        94.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12329089	        94.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12798288	        94.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12944308	        96.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12013292	        95.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12144034	        93.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12889202	        93.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=400-24         	12769765	        94.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	 8646476	       120.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	10379704	       118.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	10556886	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	 9268047	       120.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	10499960	       117.9 ns/op	       0 B/op	       0 allocs/op
